the_geom,menu,homemade_pierogies,lunch,publish,etc,website,email,phone,cartodb_id,handicap,take_out,alcohol,venue_address,venue_type,venue_notes,venue_name,validated,uuid
0101000020E6100000E8C1DD59BBFB53C0EDF0D7648D2C4440,,,,true,Ash Wednesday 11a to 7p,https://facebook.com/holyspiritchurch/,19201@diopitt.org,412-346-0477,15,,,,"2603 Old Elizabeth Road, West Mifflin, Pa 15122",Church,,Holy Spirit (West Mifflin),true,15
0101000020E61000006AF5D55581F453C0BE9F1A2FDD324440,https://www.facebook.com/Wwvfdfishfry/,false,true,true,Homemade Huluski and Local Deliveries.,https://www.facebook.com/Wwvfdfishfry/,,412-646-2594,108,,true,false,"330 Kline ave, North Versailles, PA",Fire Department,Greensburg Pike at Kline Ave,West Wilmerding VFD Station 211,true,108
0101000020E6100000E9818FC18A0254C024F0879FFF444440,"Fried Fish, Baked Fish, Fried Shrimp, Fish Sandiwhces, Shrimp Baskets, Homemade Mac and Cheese!, Homemade Cole Slaw -secret recipe!, Apple Sauce, French Fries, Baked Potatoes, New England Clam Chowder, Tomato Florentine Soup, Bread, Butter, Drink, Yummy Desserts, , Beer and Wine Available!!, , Dinners: $10, Junior Meal $5 age 6 - 10, Kids Meal - Free! age 5 and under",,,true,,http://avilaparish.org/lenten-fish-fry/,,,47,,,true,"1000 Avila Court Pittsburgh, PA 15237",Church,,"St. Teresa of Avila, Perrysville",true,47
0101000020E6100000DDB5847CD0F553C0B3D2A414743B4440,"Variety of choices available, including baked, breaded or battered fish, jumbo shrimp, crab cakes, pierogies, haluski, macaroni and cheese, personal cheese pizza, french fries and breadsticks.",false,false,true,,www.stbartsparish.com/,,412-242-2511,217,,,false,"111 Erhardt Dr, Penn Hills, PA 15235",Church,The Fish Fry is in the school cafeteria.,St. Bartholomew,true,6fca4817-fcf8-4db9-be97-90b3ba9c9c49
0101000020E6100000A7B228ECA21F54C08330B77BB99B4440,"Fried or baked fish. includes choice of baked potato or french fries, applesauce or coleslaw, cookie and beverage. palacinkas, too!",,false,true,"March 3, 10, 17, 24, 31, April 7, 14",,,724-342-7391,55,,true,false,"804 Idaho St. , Sharon , PA 16146",Church,,St. Anthony (church hall),true,55
0101000020E6100000DA835A1DCAFC53C0ED4B91D7DE3D4440,http://niedshotel.myfastsite.com/menu/,,true,true,famous fish sandwich,http://niedshotel.myfastsite.com/,,412-781-9853,163,,true,true,"5438 Butler St, Pittsburgh, PA 15201",Restaurant,,Nied's Hotel,true,163
0101000020E6100000C95FB58D9AFB53C089D1730B5D3A4440,,,true,true,,http://harrisgrill.com/,,,62,,true,true,"5747 Ellsworth, Pittsburgh, PA",Restaurant,,Harris Grill,true,62
0101000020E6100000910BCEE0EFFE53C0FEB627486C3B4440,https://www.mostholynameofjesusparish15212.org/documents/2017/2/2017%20fish%20menu%20jpg.pdf,,,true,,https://www.mostholynameofjesusparish15212.org/,,,283,,true,,"1515 Tinsbury Street, Pittsburgh, PA",Church,,Most Holy Name,true,558bb118-d87e-4820-9094-161e1db2812c
0101000020E610000043723271AB0354C009A9DBD957504440,"Dinner menu: entree (choices of fried or baked fish, fried or baked fish sandwich or shrimp); choice of macaroni and cheese, french fries or baked potato; choice of cole slaw or applesauce; choice of clam chowder or tomato Florentine soup (not included in kids meal); and beverage (no beverage for takeout meals). Cost: $10 for adults, $2 for kids. A la carte items: fried or baked fish sandwich, $6; half-pound fried or baked fish, $6; one-pound fried or baked fish, $11; shrimp basket, $6; and more. Desserts available for additional charge.",,false,true,Ash Wednesday is takeout only. To order takeout call either: 724-759-8659 or 412-799-4042 from 2-7pm. This is the 10th year of this fish fry.,www.fish-fry.org,N/A,724-759-8659,32,,true,,"201 Church St. Wexford, Pa. 15090",Church,Served in the school cafeteria.,St. Alphonsus (Wexford),true,32
0101000020E61000008D09319754FC53C04F90D8EE1E344440,"Baked and fried fish dinners include french fries and cole slaw. A la carte menu features fried or baked fish sandwiches, grilled cheese, french fries, macaroni and cheese, haluski and cole slaw. Also featuring bake sale.",,false,true,,http://www.ststephen-hazelwood.org/,,412-421-9210 office 412-421-4748 takeout orders,46,true,true,false,"134 East Elizabeth St. Pittsburgh, PA",Church,,"St. Stephen, Hazelwood",true,46
0101000020E6100000541D7233DCFD53C0FCFCF7E0B54B4440,"Menu: fried or baked cod; steamed seasoned shrimp, baked breaded shrimp, fish or shrimp tacos, vegetarian salad in a deep-fried tortilla shell, macaroni and cheese dinner, pizza, clam chowder. Fish dinners include two sides (french fries, baked potato, tater tots, pierogies, macaroni and cheese, applesauce). All dine-in dinners include dessert and beverage. Cost is $10 for adult dinner, $5 for child dinner, $7 for senior dinner and $7.50 for sandwich, with a 10 percent discount for dinners served in hall between 4 and 5 p.m.",,false,true,Special curbside pickup for takeout orders.,www.stcatherineofsweden.org,,412-486-6001,220,,true,," 2554 Wildwood Rd, Allison Park, PA 15101",Church,In the social hall,St. Catherine of Sweden,true,a2a94518-6418-4a06-ac58-f4f72595b77b
0101000020E610000088BCE5EAC70254C0E7FC14C781314440,"Menu includes fried or baked fish, shrimp, macaroni and cheese and fish taco dinners. Also featuring weekly specials.",,false,true,,www.stbernardfishfry.net,,412-440-2697,221,,,,311 Washington Road,Church,In Church Hall,St. Bernard,true,f00b9e2d-2f2d-4f1b-ae93-1d939195b606
0101000020E6100000ACFE08C380FF53C08E3EE60302F94340,"
Dinners (All Dinners Come with 2 Sides and a Drink):

Hand Breaded Ocean Perch Dinner - $9.00
Fish Sandwich Dinner - $9.00
Shrimp Dinner - $9.00
Clam Strip Dinner - $9.00
Chicken Strip Dinner (4pcs) - $9.00
8oz Fish Sandwich - $6.00
5 Hand Breaded Ocean Perch - $6.00

Sides:
Beer Battered Fries - $2.00
Cole Slaw - $2.00
Pierogi - $3.00 (3 in the Dinner, 4 as a side)
Cabbage and Noodles - $3.00
Mac and Cheese - $3.00
Soup (Eat In Only), March: Clam Chowder, April: Lobster Bisque - $3.00

Other Items:
Side of Shrimp or Clams - $4.00
Side of Chicken Strips (3pcs) - $4.00
Angus Burger - $4.00
Hot Pepper Cheese Balls - $3.00
Breaded Cheese Sticks - $3.00

Condiments: Lettuce, Tomato, Onion, Pickle, Cheese, Ketchup, Mustard, Tartar Sauce, Cocktail Sauce, Hot Sauce, Mayo, Ranch, BBQ, Marinara

Drinks ($1): Coke, Pepsi, Diet Pepsi, Diet Coke, Mountain Dew, Dr. Pepper, Sprite, Water, Coffee",,true,true,,http://rlvfd66.com/,riceslandingvfdco66@yahoo.com,(724) 592-5765,28,,,false,"66 Bayard Ave. Rices Landing, Pa. 15357",Fire Department,,Rices Landing Volunteer Fire Department,true,28
0101000020E6100000378C82E0F1F853C0AC6F6072A3084440,"Several types of traditional fried fish sandwiches, ever popular baked fish dinners after 3pm, and plenty of side dishes.",,true,true,"Ash Wednesday and Fridays during Lent, 11AM-7PM",https://www.facebook.com/calvfd23/,,,172,,,false,"1000 Wood Street, California PA 15419",Fire Department,,California Volunteer Fire Department,true,172
0101000020E610000057EC2FBB27FB53C0734BAB2171194440,"Menu includes fish dinners and sandwiches, shrimp, crab cakes, pizza, fresh-cut french fries, macaroni and cheese, cole slaw, haluski, provolone sticks and more.",,true,true,"Ash Wednesday and Fridays of Lent, except Good Friday, 11:30 a.m.-2 p.m. lunch, 4-7 p.m. dinner",,stdamienparish@verizon.net,724-258-7742,218,,,,"400 Park Ave, Monongahela, PA 15063",Church,,"St. Damien of Molokai, Monongahela",true,30ba146c-b6d6-480b-81eb-fac641795c42
0101000020E61000008A0453CDAC0B54C0BBB88D06F0444440,"Dinner menu, which includes choice of two sides ;french fries, cole slaw, macaroni and cheese, green beans, haluski;, plus iced tea, coffee or lemonade for dine-in dinners: fried fish sandwich platter, 11; Boston baked cod plate, 12; crab cake, 12; Atlantic salmon plate, 13. Fish sandwich only is 8. Kids meal features fish sticks or macaroni and cheese, one side and applesauce for 5. Family takeout special for 39 includes four fish pieces, rolls and two family-size side dishes. Also featuring homemade soups, home-baked desserts, autographed sports memorabilia raffle and more.",,false,true,,,,412-741-5540,35,,,false,"200 Walnut St. Sewickley, Pa. 15143",Church,school cafeteria,"St. James, Sewickley",true,35
0101000020E61000004082870EA60D54C09B5434D6FE1E4440,Fish (cod) jumbo shrimp regular shrimp oysters and other seafoods an more.,,,false,,,,,219,,,,"737 West Pike Street Houston, PA 15342",Unsure / N/A,,Siwiaks HOMEstyle cooking,false,efabd97f-3e5d-426d-a126-2d1dcab739da
0101000020E61000005A9E0777670054C01151F1248E3A4440,,,,false,,,,,170,,,,"1400 Boyle St. Pittsburgh, PA",Church,,Brown Chapel AME Church,false,170
0101000020E61000005774907C4AE953C0CDA9094735494440,"all you can eat Lenten dinner $10 for adults, children 5-10 are $6, under 5 are free; Your choice of Fish (Fried or Baked) Chicken strips French Fries Rice Pilaf Mac and Cheese Cole Slaw Green Bean Casserole Haluski Fruit Cocktail Assortment of drinks (Coffee, Tea, Lemonade, Iced Tea, Fruit Punch)  On March 10, March 24, and April 7 we will also be serving Perogies as part of the main menu.  This year we will also be doing specials, however due to additional costs we will be adding an up charge of $2.00 to those people that want the special that evening.  The special menu is: March 3 - Crab Cakes March 17 - Jumbo Shrimp March 31 - White Pizza and Hush puppies  April 14 - Dessert Bar - No up charge  Benifits Markle VFD and Vandergrift #1 Fire-Rescue",,,true,,https://www.facebook.com/markle.vfd/,,,83,,,,"470 Joyce St., Apollo, PA",Fire Department,,Markle VFD,true,83
0101000020E61000007A724D81CCF653C0D49D279EB3294440,,,,false,,,,,39,,,,"3210 Liberty Way Liberty Borough, PA",Church,,St. Mark/Liberty Borough,false,39
0101000020E610000081B1BE81C90B54C09CDB847B65204440,,,true,true,,http://jimmygsgrill.com/,,724-745-5666,223,true,,true,"341 South Central Ave. Canonsburg, PA 15317",Restaurant,,Jimmy Gs Grill,true,1f40479c-f16b-44c9-ba84-1aa7a884f2a5
0101000020E6100000B2A3CC6152E153C050EE2D9BEF3A4440,,,false,true,,https://www.facebook.com/vfd59/,,724-468-9978,132,,true,,"128 Main Street, Slickville, Pa. 15684",Fire Department,,Salem FD-Slickville VFD,true,132
0101000020E610000081B2295778E153C0F279C5538F684440,"Baked or Fried Fish or Sloppy Joe Sandwich, Comes with Choice of: Baked Potato, Curly Fries, or Macaroni and Cheese, and Choice of: Apple sauce or Cole Slaw, and Roll, Beverage and Homemade Pie Adult is $9, Children $4",false,false,true,,https://www.facebook.com/firstchurchkittanning,,,285,,true,false,"301 North Jefferson Street, Kittanning, PA",Church,,First United Methodist Church Covenant Center,true,339f6d43-98a7-47ea-9aa7-1023c4e9393c
0101000020E6100000AFEAAC16D80654C075931804562E4440,see website link,,false,true,"4-7 pm biweekly: March 3, 17, 31; April 14",http://www.bridgevillevfd.com/2017fishfrymenu.pdf,,,95,,,false,"370 Commercial Street, Bridgeville, PA",Fire Department,,Bridgeville Volunteer Fire Department,true,95
0101000020E61000008C683BA6EEEF53C0D28A6F287C364440,,,true,true,,http://www.namcatholicchurch.org/2017-fish-fry-menu.html,Office@namcatholicchurch.org,412-372-9771,19,,true,false,"2526 Haymaker Road Monroeville, PA",Church,,"North American Martyrs Catholic School, Monroeville",true,19
0101000020E6100000EBC37AA3560354C0E0D6DD3CD52B4440," hand-breaded fried fish or baked fish dinner, with side of pasta marinara or french fries; pasta dinner with featured sauce or marinara sauce. Dinners are $10 for adults, $5 for children, and include choice of salad, cole slaw or applesauce. All-you-can-eat pasta with marinara sauce is $10. Half portions of regular features, or buttered noodles with a side and roll for kids, are available. Also offering hand-breaded fried fish sandwich only. Gluten-free fish and pasta available. A la carte menu: macaroni and cheese, french fries, homemade soup, pizza. Featured sauces made by parishioner Lucia Facco are: March 3, shrimp sauce; March 10, three-pepper sauce; March 17, smoked salmon sauce; March 24, shrimp sauce; March 31, three-pepper sauce; April 7, smoked salmon sauce. Desserts feature cakes, cookies and ice cream. Show special STM app at cash register and receive ticket for free dessert. Beer, wine and soda available for sale. ",,,true,"Fridays of Lent, except Good Friday, 4:30-7:30 p.m., Family Life Center, 126 Fort Couch Road.",www.stmpgh.org/morefish,,412-833-0031,280,,true,true,"126 Fort Couch Road, Bethel Park, PA",Church,,"St. Thomas More, Bethel Park",true,e4512938-9b4e-4b91-96f3-27ae7f8ce32f
0101000020E6100000FA9AE5B2D1FF53C0813D26529A414440,famous fish sandwich,,true,true,,http://www.kretzlerstavern.com/,,,286,,,true,"2240 Babcock Blvd., Pittsburgh, Pennsylvania",Restaurant,,Kretzler's Tavern,true,d51ae92f-ed44-4059-8a71-07b74eda50ed
0101000020E610000060747973B80354C0CD3CB9A6403A4440,"All Dinners/Platters include 1 side dish, coleslaw, roll, butter and dessert. All you can eat fish dinner $10.75 Seafood platter (fish, crab cake and shrimp $9.00 Fish dinner (breaded and fried) $7.75 Fish sandwich dinner $7.75 Shrimp dinner $7.75 Crab Cake Dinner $7.75 Clam strips dinner $7.75 Shrimp only (6 pieces) $5.50 Clam strip only $5.50 Fish sandwich $5.00 Fish on a dish (1 piece) $3.50 Crab cake on a dish (1 piece) $3.50 Macaroni and Cheese $2.25 French Fries $2.25 Haluski $2.25 Pierogies $2.25 Coleslaw $.75 Dessert $1.00 Pop $1.00 Coffee $.75 Extra Bun $.35",false,true,true,Noon-6 Ash Wednesday and Fridays of Lent,http://www.trinitysheraden.com/UpcomingEvents.htm,,412-331-0600,153,false,true,false,"3102 Sherwood Ave., Sheraden, PA",Church,Entrance on the side,Trinity Lutheran,true,153
0101000020E6100000BDFBE3BD6AF753C0F1D4230D6E2F4440,"Menu: fried and baked fish sandwiches and dinners; shrimp dinner; crab cake dinner. Plus, haluski, cole slaw, pierogies, baked macaroni, homemade soups of the day and more.",,true,true,"Ash Wednesday and Fridays of Lent, including Good Friday, 11 a.m.-6 p.m. ",,,412-466-9695,31,,true,false,"Holy Trinity Church Social Hall, 529 Grant Avenue Ext West Mifflin, PA 15122-3830",Church,,St. Agnes/Holy Trinity,true,31
0101000020E6100000FC219111ABF953C0E5A37B8CA8314440,,,false,true,,http://www.st-therese.net/,,412-462-8164,48,,true,,"3 St. Therese Court Pittsburgh, PA",Church,,"St. Therese of Lisieux, Munhall",true,48
0101000020E610000045662E70791054C026529ACDE34A4440,"We are offering both take out and eat in sandwiches and dinners in Kohler Hall.  We have both fr ied and  baked fish, fried shrimp, halushki, pierogies, French fries, fr eshly cooked  vegetables, and homemade desserts. ",false,false,true,,http://www.olof.us/,,412-375-7672,20,,true,false,"2270 Brodhead Road Hopewell Township, PA",Church,,"Our Lady of Fatima, Hopewell Township",true,20
0101000020E6100000F69F90F8F0EB53C05654B3BDCC284440,,,,false,,,,,85,,,,"8695 U.S. Hwy 30, Irwin, PA",,,Doublewide Grill (North Huntingdon),false,85
0101000020E61000009002FA3372EE53C047B87F1B182C4440,,,,false,,,,,148,,,,"1340 Brownstown Rd., Larimer, PA",,,Larimer VFD,false,148
0101000020E6100000D4EE5701BEF553C0AD19749DA10C4440,,,,false,,,,,128,,,,"340 Second Street, Fayette City, PA 15438",,,Fayette City VFC,false,128
0101000020E610000092AF0452621054C0E8F9D346754E4440,,true,true,true,, www.sttitus.org,,724-378-2734,50,,true,false,"952 Franklin Ave. Aliquippa, PA",Church,,"St. Titus, Aliquippa",true,50
0101000020E61000002B3410CB66FF53C0E6E95C514A384440,,,true,true,Free parking available.,www.epiphanychurch.net,,412-471-1008,9,,,false,"164 Washington Place Pittsburgh, Pa. 15219",Church,"McDowell Hall; beneath church",Epiphany (Uptown),true,9
0101000020E61000008E40BCAE5F0F54C08600E0D8B39D4440,"Adults: 10 dollars; Children: 5 dollars (under 3 free) -- fried fish, fries, coleslaw, bread and butter, coffee, tea, lemonade",false,false,true,,http://www.ihmcmercer.com,ihm@zoominternet.net,724-662-2999,54,,true,false,"100 Penn Avenue, Mercer, PA",Church,Event is in Gallagher Hall,Immaculate Heart of Mary,true,54
0101000020E61000002EC896E5EBF853C0852348A5D8354440,See Website,false,true,true,"""Deliciously Famous""",http://swissvalefire.org/,,4122718787,100,,true,false,"7400 Irvine Street, Pittsburgh, PA 15218",Fire Department,,Swissvale Fire Department,true,100
0101000020E6100000C097C28366F353C0F853E3A59B324440,"Fish Sandwich , 1 lb Giant Fish Hoagie , Tuna Salad , Homemade Fish Sticks , Shrimp Basket Stuffed Shrimp , Stuffed Flounder , Crab Cakes , Fish Dinner Special Sides: Mac & Cheese , Fresh Cut Fries , Pierogies , Haluksi , New England Clam Chow",true,true,true,Homemade Fish Sticks!,http://www.ourplacehomemade.comcastbiz.net/,,412-646-2786,164,,,false,"105 Middle Ave., Wilmerding, PA",Restaurant,,Our Place Homemade,true,164
0101000020E61000009529E620E8EB53C0B08F4E5DF9364440,https://www.facebook.com/motherofsorrowsmurrysville/photos/a.175243462814267.1073741828.174889776182969/432174380454506/?type=3&theater,,true,true,,https://www.facebook.com/motherofsorrowsmurrysville/,,724-980-2636,292,,true,,"4202 Old William Penn Hwy Murrysville, PA 15668",Church,,Mother of Sorrows,true,5270c141-b62a-4122-b8bf-21ec865ad2e8
0101000020E6100000CF9F36AAD3F553C07FA31D37FC404440,"Baked or fried fish dinner, shrimp dinner, homemade soup, hush puppies, haluski, macaroni and cheese, pizza and more.",,false,true,"Note that there is no fish fry on March 31. To place an order, call 412-795-5114 from noon-4 p.m. the day before.",http://stjosephveronapa.com/event/fish-fry-2017/,joevchurch@verizon.net,412-795-5114,37,,,false,"825 Second St. Verona, PA",Church,In the social hall,"St. Joseph, Verona",true,37
0101000020E6100000D5AF743E3CF653C07FF78E1A13424440,,,false,true,"Fridays during Lent, 5-7pm. Call for menu.",,,412-828-1668,75,,true,,"106 Washington Ave., Oakmont, PA",Community Organization,,Oakmont Elks,true,75
0101000020E6100000324B4C616F1E54C0D9DDF247074B4440,,,,false,,,,,81,,,,"102 Silver Slipper Rd Hookstown, Pennsylvania",,,Hookstown Volunteer Fire Department,false,81
0101000020E6100000D36064132AFD53C0C4EE963F3A3D4440,"$10 gets you... - Our classic spiced cornmeal-crusted FISH SANDWICH on a hearty bun with a tasty Sriracha mayo ""tartar"" sauce – OR – a vegan sun dried tomato hummus/pickled carrots/arugula sandwich prepared by 52nd Street Market http://52ndstreetmarket.com/  - Coleslaw (vegan!), prepared by Apteka http://aptekapgh.com/  - Macaroni & cheese (vegetarian!), prepared by The Vandal http://www.thevandalpgh.com/  Plus, for a few bucks more... - Desserts provided by Ben Houck - Drinks both alcoholic and non from Spirit’s fully-stocked bar (don't forget your ID!)",,,true,"We're back again, and on the last day of the 2017 fish fry season!  Keep Pittsburgh Fishy is an annual secular fish fry benefiting local progressive organizations. Get your fish fry fix while supporting equality!  This year, our proceeds will benefit New Voices Pittsburgh, a local organization dedicated to the health and well-being of Black women and girls through leadership development, Human Rights and Reproductive Justice.  We'll be partnering with local restaurants to bring you some awesome side dishes to enjoy with our classic fish sandwiches and a delicious vegetarian-friendly option. In addition to that, we'll have a dessert table, raffle, photobooth, drinks, and live entertainment. This is an all-ages event!",https://www.facebook.com/events/792100320951360/,,,323,,,,"242 51st street, pittsburgh, pa",Other,,Keep Pittsburgh Fishy Annual Secular Fish Fry (Good Friday Only),true,d9f4a3d0-fff9-4ce5-a264-cb8ff7e9cb47
0101000020E6100000AC376A85E90F54C0F73DEAAF57164440,,true,true,true,,http://holytrinitywashingtonpa.org/,,724-225-1895,226,true,true,false,"605 Hewitt Ave. Washington, PA 15301",Church,,Holy Trinity National Catholic Church,true,d931a069-b80f-41f8-852c-bcbb58c9d78e
0101000020E61000003B376DC669F053C01C0934D8D4334440,,,false,true,Klub Karadjordje fish fry 4-7 every Friday during Lent.,http://www.stnicholasmonroeville.org/,stnicholasmonroeville@gmail.com,412-856-8166,66,,,false,"2110 Haymaker Road, Monroeville, PA",Church,,St. Nicholas Serbian Orthodox,true,66
0101000020E6100000002BD1A373E753C01FE2D528DA2E4440,https://www.facebook.com/111109495633531/photos/a.314237345320744.69221.111109495633531/1251260814951721/?type=3&theater,,true,true,,,,724-744-2400,293,,true,,"3100 Blocks Rd., Claridge, PA 15623",Fire Department,,Claridge VFW,true,84db0208-8465-42aa-af89-bc265ae5db4b
0101000020E6100000986BD102B4FD53C0A14D0E9F74284440,See menu at http://saintthomasabecket.com/2017FishFrymenu.pdf,,true,true,,http://saintthomasabecket.com,,,49,,,false,"139 Gill Hall Road Pittsburgh, PA",Church,,"St. Thomas A Becket, Jefferson Hills",true,49
0101000020E610000014252191B6F053C0E8FA3E1C24484440,"Baked or fried fish sandwiches or dinners; shrimp dinner; mac n cheese; pasta with marinara or aglio e oglio; pasta fagioli. Dessert available.",,true,true,,https://www.facebook.com/MSPParish/,,724-335-1458,287,true,true,,"100 Freeport Road, New Kensington, PA",Church,,Mount St. Peter,true,04416e2f-f56a-413b-a130-5e1f48aa58c2
